trigger,trigger_kind,trigger_support,n_expected_diagnoses,top_expected_diagnosis,top_confidence
MED_SODIUM_CHLORIDE_0_9_FLUSH,medication,293410,12,DX_9_4019,0.20225282028560718
MED_ACETAMINOPHEN,medication,246754,10,DX_9_4019,0.18574774877003006
MED_HEPARIN,medication,195210,12,DX_9_4019,0.2139285897238871
MED_DOCUSATE_SODIUM,medication,176516,11,DX_9_4019,0.22542998934940742
MED_SENNA,medication,165959,14,DX_10_E785,0.20947342415897902
MED_ONDANSETRON,medication,130427,8,DX_9_4019,0.18192552155611952
MED_0_9_SODIUM_CHLORIDE,medication,128863,14,DX_9_4019,0.22103319028735943
MED_OXYCODONE_IMMEDIATE_RELEASE,medication,107357,10,DX_10_I10,0.19358774928509553
MED_POTASSIUM_CHLORIDE,medication,105613,16,DX_9_4019,0.23444083588194636
MED_ASPIRIN,medication,101765,17,DX_9_4019,0.2628998182086179
MED_INSULIN,medication,101400,20,DX_9_4019,0.2484122287968442
MED_MAGNESIUM_SULFATE,medication,100972,18,DX_10_E785,0.21697104147684507
MED_BISACODYL,medication,91215,10,DX_10_E785,0.1842789014964644
MED_DEXTROSE_50,medication,90441,21,DX_10_E785,0.26269059386782545
MED_ISO_OSMOTIC_DEXTROSE,medication,90112,15,DX_9_4019,0.20686479048295456
MED_GLUCAGON,medication,89928,23,DX_10_E785,0.28237034071701805
MED_LACTATED_RINGERS,medication,86830,13,DX_10_E785,0.238822987446735
MED_BAG,medication,85846,21,DX_10_E785,0.25781049786827576
MED_LORAZEPAM,medication,79666,12,DX_9_4019,0.19962091732985213
MED_5_DEXTROSE,medication,78304,16,DX_9_4019,0.22070392317123008
MED_HYDROMORPHONE_DILAUDID,medication,78019,8,DX_9_4019,0.19483715505197452
MED_POLYETHYLENE_GLYCOL,medication,73166,18,DX_10_E785,0.2880982970232075
MED_FUROSEMIDE,medication,72935,22,DX_10_E785,0.2391855761979845
MED_PANTOPRAZOLE,medication,68712,17,DX_9_4019,0.22560833624403306
MED_METOPROLOL_TARTRATE,medication,68095,20,DX_9_4019,0.2985828621778398
MED_ATORVASTATIN,medication,67230,25,DX_10_E785,0.3992414100847836
MED_OMEPRAZOLE,medication,66938,17,DX_10_K219,0.2510681526188413
MED_GLUCOSE_GEL,medication,66564,25,DX_10_E785,0.3808214650561865
MED_SODIUM_CHLORIDE_0_9,medication,64111,19,DX_10_E785,0.30522063296470187
MED_VANCOMYCIN,medication,60082,20,DX_9_4019,0.20530275290436403
MED_MORPHINE_SULFATE,medication,59398,11,DX_9_4019,0.2805313310212465
MED_CALCIUM_CARBONATE,medication,56013,10,DX_9_4019,0.1833145876850017
MED_INFLUENZA_VACCINE_QUADRIVALENT,medication,55779,16,DX_10_I10,0.2782946987217412
MED_VIAL,medication,55633,21,DX_10_E785,0.24587924433339925
MED_LISINOPRIL,medication,52497,15,DX_9_4019,0.3831647522715584
MED_HEPARIN_FLUSH_10_UNITS_ML,medication,50380,18,DX_10_E785,0.19410480349344977
MED_MULTIVITAMINS,medication,48358,16,DX_9_4019,0.25371189875511807
