token,namespace,count
MED_INSULIN,medication,46651
MED_5_DEXTROSE,medication,20275
MED_BAG,medication,19418
MED_SENNA,medication,18840
MED_ISO_OSMOTIC_DEXTROSE,medication,16759
MED_LACTATED_RINGERS,medication,13953
MED_DEXTROSE_50,medication,8850
MED_VIAL,medication,8537
MED_POLYETHYLENE_GLYCOL,medication,7570
MED_SW,medication,6933
MED_NS,medication,4994
MED_INFLUENZA_VACCINE_QUADRIVALENT,medication,4833
MED_NEUTRA_PHOS,medication,4696
MED_D5_1_2NS,medication,4282
MED_MULTIVITAMINS,medication,4161
MED_D5W,medication,3797
MED_INFLUENZA_VIRUS_VACCINE,medication,3430
MED_MILK_OF_MAGNESIA,medication,3197
MED_SOLN,medication,2615
MED_LR,medication,2347
DX_9_25000,diagnosis,2344
MED_POTASSIUM_CHL_20_MEQ_1000_ML_D5_1_2_NS,medication,2291
MED_DEXTROSE_5,medication,2105
MED_ALBUMIN_25_12_5G_50ML,medication,2033
DX_9_311,diagnosis,1961
MED_PNEUMOCOCCAL_VAC_POLYVALENT,medication,1931
MED_PNEUMOCOCCAL_23_VALENT_POLYSACCHARIDE_VACCINE,medication,1502
MED_SYRINGE,medication,1501
MED_MULTIVITAMINS_W_MINERALS,medication,1355
DX_9_40390,diagnosis,1197
MED_CYANOCOBALAMIN,medication,1192
MED_INSULIN_HUMAN_REGULAR,medication,1186
MED_SARNA_LOTION,medication,1128
MED_1_2_NS,medication,1126
DX_9_49390,diagnosis,1061
DX_9_V4582,diagnosis,891
DX_9_496,diagnosis,822
MED_ALBUMIN_5_12_5G_250ML,medication,817
MED_D5NS,medication,808
MED_ARTIFICIAL_TEARS,medication,742
DX_9_V4581,diagnosis,729
MED_NEPHROCAPS,medication,677
DX_9_41400,diagnosis,676
MED_PRISMASATE_B32_K2,medication,676
MED_INFLUENZA_VACCINE_HIGH_DOSE_QUADRIVALENT,medication,671
MED_ALBUMIN_5_25G_500ML,medication,663
MED_VASOPRESSIN,medication,619
MED_D5LR,medication,607
DX_10_Y92230,diagnosis,590
DX_9_V1251,diagnosis,579
DX_9_60000,diagnosis,568
MED_NS_MINI_BAG_PLUS,medication,567
MED_5_DEXTROSE_EXCEL_BAG,medication,566
MED_CEPACOL_SORE_THROAT_LOZENGE,medication,544
MED_CHLORASEPTIC_THROAT_SPRAY,medication,513
MED_YELLOW_CADD_CASSETTE,medication,501
MED_FERRIC_GLUCONATE,medication,500
DX_9_40391,diagnosis,488
DX_9_E8497,diagnosis,460
MED_ALBUMIN_5,medication,458
DX_9_71590,diagnosis,433
DX_9_4168,diagnosis,411
MED_SYRINGE_ISO_OSMOTIC_DEXTROSE,medication,409
MED_POTASSIUM_CHL_20_MEQ_1000_ML_NS,medication,405
MED_INSULIN_REGULAR_FOR_HYPERKALEMIA,medication,401
MED_ALBUMIN_25,medication,400
MED_DERMOPLAST_SPRAY,medication,394
MED_CREON_12,medication,383
DX_10_T451X5A,diagnosis,383
DX_9_25060,diagnosis,382
MED_DIVALPROEX_DELAYED_RELEASE,medication,379
MED_PRISMASATE_B22_K4,medication,379
MED_TETANUS_DIPHTOX_ACELLULAR_PERTUSS_ADACEL,medication,375
DX_9_34590,diagnosis,372
DX_9_5715,diagnosis,366
MED_INSULIN_REGULAR_HUMAN_U_500,medication,361
MED_DEXTROSE_10_IN_WATER_D10W,medication,351
DX_9_E8490,diagnosis,349
MED_MULTIVITAMIN_IV,medication,344
DX_9_V1581,diagnosis,336
DX_9_V4365,diagnosis,333
MED_FISH_OIL_OMEGA_3,medication,331
DX_9_E8798,diagnosis,327
MED_POTASSIUM_CHL_40_MEQ_1000_ML_D5_1_2_NS,medication,325
DX_9_07054,diagnosis,322
DX_9_34690,diagnosis,314
DX_9_4254,diagnosis,307
MED_D10W,medication,304
DX_9_E8788,diagnosis,303
DX_10_Z9114,diagnosis,301
DX_9_V153,diagnosis,301
MED_INSULIN_SYRINGE_U_500,medication,299
MED_ARTIFICIAL_TEAR_OINTMENT,medication,296
DX_10_Z006,diagnosis,291
DX_9_7242,diagnosis,291
DX_9_E9331,diagnosis,280
MED_MOUTH_CARE_ORAL_RINSE,medication,277
DX_9_E8859,diagnosis,263
MED_POTASSIUM_CHL_40_MEQ_1000_ML_NS,medication,260
DX_9_3569,diagnosis,259
DX_9_56210,diagnosis,258
MED_DIVALPROEX_EXTENDED_RELEASE,medication,258
DX_9_V4589,diagnosis,254
DX_9_6826,diagnosis,252
DX_9_E8499,diagnosis,248
DX_10_W19XXXA,diagnosis,248
DX_9_41071,diagnosis,247
DX_9_5070,diagnosis,237
MED_ANTI_THYMOCYTE_GLOBULIN_RABBIT,medication,237
DX_9_V5865,diagnosis,236
DX_9_V4364,diagnosis,234
DX_9_7291,diagnosis,231
DX_9_E8781,diagnosis,227
DX_9_V173,diagnosis,224
DX_9_V707,diagnosis,224
MED_FLEET_ENEMA,medication,224
DX_9_V600,diagnosis,221
DX_9_64891,diagnosis,219
DX_10_Z1159,diagnosis,218
DX_9_25040,diagnosis,218
MED_ARTIFICIAL_TEARS_PRESERV_FREE,medication,218
DX_9_7904,diagnosis,215
MED_GAMMAGARD_LIQUID,medication,214
DX_10_T380X5A,diagnosis,210
DX_9_45829,diagnosis,207
DX_9_29420,diagnosis,205
DX_9_2930,diagnosis,205
DX_9_70715,diagnosis,202
DX_9_E8780,diagnosis,201
MED_FLEET_ENEMA_SALINE,medication,199
DX_9_E8782,diagnosis,198
DX_9_78039,diagnosis,195
DX_9_49320,diagnosis,194
DX_9_70703,diagnosis,194
MED_ARTIFICIAL_TEARS_GEL_1,medication,189
DX_9_V5869,diagnosis,187
DX_9_28529,diagnosis,186
MED_PRENATAL_VITAMINS,medication,186
DX_9_78079,diagnosis,184
DX_9_5845,diagnosis,183
MED_POTASSIUM_CHL_20_MEQ_1000_ML_D5NS,medication,183
DX_9_99859,diagnosis,182
DX_9_V433,diagnosis,178
DX_9_29410,diagnosis,177
MED_SYRINGE_CHEMO,medication,176
DX_10_X58XXXA,diagnosis,175
DX_9_4148,diagnosis,174
DX_9_43889,diagnosis,174
MED_0_9_NACL_EXCEL_VIAFLO_BAG,medication,173
DX_9_72989,diagnosis,169
DX_9_51889,diagnosis,166
DX_9_53550,diagnosis,159
DX_9_E9342,diagnosis,158
DX_9_43310,diagnosis,153
DX_10_Z6842,diagnosis,152
DX_9_78609,diagnosis,152
DX_9_5718,diagnosis,151
DX_9_25080,diagnosis,150
DX_9_V420,diagnosis,147
DX_9_25050,diagnosis,147
DX_9_2948,diagnosis,146
DX_10_W010XXA,diagnosis,145
DX_9_60001,diagnosis,143
MED_CAPHOSOL,medication,143
DX_9_V4572,diagnosis,143
DX_9_41519,diagnosis,142
DX_9_V0481,diagnosis,142
DX_10_Z6843,diagnosis,142
DX_9_V4579,diagnosis,142
DX_9_30391,diagnosis,141
DX_9_58381,diagnosis,141
DX_10_W1830XA,diagnosis,141
DX_10_T402X5A,diagnosis,141
DX_9_V1272,diagnosis,141
MED_BOTTLE,medication,140
DX_9_45621,diagnosis,140
DX_9_78009,diagnosis,140
DX_9_2662,diagnosis,139
DX_9_04104,diagnosis,137
